0047632541	004763254	1	10	CPR
0047633301	004763330	1	20	CPR
0047633791	004763379	1	10	CPR
0047634051	004763405	1	10	BUS
0047635441	004763544	1	20	BUS
0047635571	004763557	1	20	CPR
0047636191	004763619	1	40	CPR
0048440151	004844015	1	1	CER
0048440271	004844027	1	1	CER
0048530141	004853014	1	30	CPR
0048530261	004853026	1	60	CPR
0048530531	004853053	1	20	CPR
0048800231	004880023	1	1	FLA
0048940101	004894010	1	1	FLA
0048970171	004897017	1	1	FLA
0048970291	004897029	1	1	FLA
0049010431	004901043	1	20	CPR
0049010561	004901056	1	20	CPR
0049010681	004901068	1	20	CPR
0049051171	004905117	1	1	FLA
0049051291	004905129	1	5	FIA
0049051311	004905131	1	1	TUB
0049051431	004905143	1	10	FIA
0049051561	004905156	1	5	FIA
0049300201	004930020	1	5	FLA
0049610491	004961049	1	25	FLA
0049750131	004975013	1	1	FLA
0049750251	004975025	1	1	FLA
0050200451	005020045	1	1	FLA
0050320261	005032026	1	1	TUB
0050642011	005064201	1	15	CPR
0050642371	005064237	1	15	CPR
0051010231	005101023	1	30	CPR
0051240191	005124019	1	3	FIA
0051240211	005124021	1	3	FIA
0051250121	005125012	1	25	CPR
0051250241	005125024	1	6	SUP
0051370171	005137017	1	1	TUB
0051670101	005167010	1	8	FIA
0051700281	005170028	1	10	CPR
0051810451	005181045	1	1	FLA
0051810452	005181045	2	1	FLA
0052390521	005239052	1	3	FIA
0052590151	005259015	1	20	CPR
0052590411	005259041	1	30	BUS
0052680381	005268038	1	1	FLA
0052770131	005277013	1	6	FIA
0053280361	005328036	1	12	FLA
0053750621	005375062	1	1	FIA
0054080121	005408012	1	1	FLA
0054080241	005408024	1	1	FLA
0054080361	005408036	1	1	FLA
0054170501	005417050	1	50	CPR
0054170621	005417062	1	25	CPR
0054720281	005472028	1	100	CPR
0054940241	005494024	1	40	CPR
0055400121	005540012	1	1	FLA
0055560161	005556016	1	1	TUB
0055830241	005583024	1	10	FIA
0056380101	005638010	1	1	TUB
0056380221	005638022	1	1	TUB
0056400381	005640038	1	20	CPR
0056470331	005647033	1	20	CPR
0056720111	005672011	1	50	CPR
0057130191	005713019	1	1	FLA
0057810361	005781036	1	40	CPR
0057810481	005781048	1	80	CPR
0059820201	005982020	1	20	CPS
0060350241	006035024	1	10	FIA
0060350511	006035051	1	5	FLA
0060350631	006035063	1	70	CPR
0061050111	006105011	1	5	FIA
0061370181	006137018	1	10	CPR
0061410161	006141016	1	6	FIA
0061520211	006152021	1	5	FIA
0061520581	006152058	1	20	CPR
0061690151	006169015	1	1	FLA
0062280621	006228062	1	1	TUB
0062390261	006239026	1	10	CPR
0062750101	006275010	1	1	FLA
0063871321	006387132	1	1	FLA
0063871571	006387157	1	40	CPR
0064080251	006408025	1	1	TUB
0064320131	006432013	1	30	CPR
0064320371	006432037	1	30	CPR
0064510491	006451049	1	1	FLA
0064510521	006451052	1	1	FLA
0064510641	006451064	1	1	FLA
0064550361	006455036	1	50	CPR
0064550481	006455048	1	6	FIA
0064550511	006455051	1	5	FIA
0064830221	006483022	1	42	CPR
0065700281	006570028	1	1	FLA
0065700931	006570093	1	1	FLA
0065702321	006570232	1	1	FLA
0065702571	006570257	1	1	FLA
0065702711	006570271	1	1	FLA
0067690201	006769020	1	1	FLA
0067740181	006774018	1	6	FIA
0067740321	006774032	1	1	FLA
0067740441	006774044	1	20	CPR
0068090531	006809053	1	20	CPR
0068090651	006809065	1	1	FLA
0069030251	006903025	1	1	TUB
0069790251	006979025	1	30	CPR
0069790371	006979037	1	6	FIA
0069790491	006979049	1	6	SUP
0070760191	007076019	1	1	FLA
0071120161	007112016	1	5	FIA
0072710241	007271024	1	1	TUB
0072930201	007293020	1	10	FLA
0073120101	007312010	1	1	FLA
0074440211	007444021	1	50	CPR
0075180321	007518032	1	1	FLA
0075180441	007518044	1	1	FLA
0075370181	007537018	1	2	FIA
0075370201	007537020	1	1	FIA
0075390121	007539012	1	3	FIA
0075390241	007539024	1	5	FIA
0075390481	007539048	1	5	FIA
0076450561	007645056	1	1	FLA
0076450701	007645070	1	10	SUP
0076450821	007645082	1	10	SUP
0077800751	007780075	1	10	FLA
0078931241	007893124	1	1	FLA
0078931511	007893151	1	12	CPR
0078931631	007893163	1	12	BUS
0078931751	007893175	1	6	BUS
0078931871	007893187	1	1	FLA
0078931991	007893199	1	12	CPR
0078990141	007899014	1	5	FIA
0078990261	007899026	1	25	CPR
0078990381	007899038	1	20	CPR
0080960241	008096024	1	1	FLA
0081940191	008194019	1	3	FIA
0081940331	008194033	1	5	FIA
0081940451	008194045	1	5	FIA
0082430141	008243014	1	1	FLA
0082900881	008290088	1	20	BUS
0082900901	008290090	1	30	CPR
0083660151	008366015	1	30	CPR
0084770611	008477061	1	16	CPR
0085790171	008579017	1	40	CPR
0085950621	008595062	1	16	CPS
0086790211	008679021	1	5	FIA
0086790331	008679033	1	1	FLA
0086790451	008679045	1	5	SUP
0087010171	008701017	1	20	CPR
0087010311	008701031	1	5	SUP
0087280381	008728038	1	24	CPR
0087300711	008730071	1	30	CPS
0087300831	008730083	1	30	CPS
0087300951	008730095	1	30	CPR
0087690221	008769022	1	1	FLA
0087760151	008776015	1	3	FIA
0087760411	008776041	1	20	CPR
0087760661	008776066	1	5	FIA
0087831101	008783110	1	1	FLA
0087831341	008783134	1	1	FLA
0087831591	008783159	1	20	FLA
0088830351	008883035	1	1	FLA
0088910181	008891018	1	1	TUB
0089970131	008997013	1	30	CPR
0089970251	008997025	1	6	SUP
0089970521	008997052	1	24	CPR
0089970641	008997064	1	40	CPR
0091040231	009104023	1	30	CPR
0091150271	009115027	1	1	TUB
0091150391	009115039	1	10	BUS
0091150411	009115041	1	6	OVU
0091150661	009115066	1	5	FLA
0091150781	009115078	1	1	TUB
0091320101	009132010	1	6	OVU
0092090381	009209038	1	40	BUS
0092620151	009262015	1	20	CPR
0092770171	009277017	1	12	CPR
0092860161	009286016	1	20	CPR
0092860421	009286042	1	50	CPR
0093240291	009324029	1	30	FLA
0093330931	009333093	1	5	FIA
0093400111	009340011	1	30	CPR
0094260141	009426014	1	1	FLA
0095590671	009559067	1	30	CPS
0096770161	009677016	1	30	CPR
0096770281	009677028	1	1	FLA
0097460131	009746013	1	1	FIA
0097460251	009746025	1	1	FIA
0097550121	009755012	1	1	FLA
0097550361	009755036	1	25	CPR
0098300111	009830011	1	25	CPR
0098300231	009830023	1	25	CPR
0098300471	009830047	1	25	CPR
0098480451	009848045	1	1	FLA
0098480841	009848084	1	1	FLA
0098960101	009896010	1	1	TUB
0099500271	009950027	1	20	CPR
0099560181	009956018	1	1	FLA
0099560201	009956020	1	10	FLA
0099640381	009964038	1	60	CPR
0100000381	010000038	1	50	CPR
0100580301	010058030	1	1	FLA
0100890111	010089011	1	10	CPR
0100890351	010089035	1	10	CPR
0100890471	010089047	1	20	CPR
0101300211	010130021	1	30	CPR
0101300601	010130060	1	30	BUS
0101740351	010174035	1	1	FLA
0102260641	010226064	1	10	SUP
0102262151	010226215	1	1	FLA
0102730111	010273011	1	1	TUB
0103080291	010308029	1	5	FIA
0103170281	010317028	1	1	FLA
0103170421	010317042	1	1	FLA
0103180321	010318032	1	1	TUB
0103440121	010344012	1	25	CPR
0103860111	010386011	1	1	TUB
0103860231	010386023	1	1	TUB
0103860621	010386062	1	1	TUB
0103860741	010386074	1	1	TUB
0104950481	010495048	1	1	TUB
0104950511	010495051	1	1	TUB
0105190781	010519078	1	1	FLA
0106370391	010637039	1	6	OVU
0106810291	010681029	1	30	CPR
0107720221	010772022	1	1	TUB
0108000111	010800011	1	50	CPR
0108340121	010834012	1	1	FLA
0108340241	010834024	1	20	CPR
0108340511	010834051	1	6	FIA
0108520221	010852022	1	25	CPR
0108520341	010852034	1	1	FLA
0108520461	010852046	1	20	CPR
0108610191	010861019	1	2	FIA
0110330141	011033014	1	1	FLA
0110680321	011068032	1	1	FLA
0110740101	011074010	1	1	TUB
0111250341	011125034	1	5	FIA
0112260261	011226026	1	3	FIA
0112260381	011226038	1	10	SUP
0112260911	011226091	1	1	FLA
0112261271	011226127	1	20	CPR
0112261391	011226139	1	6	FIA
0112970131	011297013	1	1	FLA
0113510181	011351018	1	1	TUB
0113550701	011355070	1	30	CPR
0113780271	011378027	1	10	FLA
0114310181	011431018	1	16	CPR
0115310351	011531035	1	25	CPR
0115440201	011544020	1	1	FLA
